name,category,address,phone,icon_url
Alpin Mantı,Mantı,Aşağı Öveçler Mah. Lizbon Cad. No:51/D Öveçler Çankaya ANKARA,03129266556,http://ws.ticket.com.tr/iphone/images/icons/ST319.png
Altunbilekler,Market Ürünleri,Cevizlidere Mah. 10. Cad. No:2/19 Balgat Çankaya ANKARA,03122643534,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Altunbilekler,Market Ürünleri,İşci Blokları Karşısı 36. Cad. 439. Sok. No:46/A Balgat Çankaya ANKARA,03122643534,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Altunbilekler,Market Ürünleri,Kardelen Mah. 468. Sok. No:11/B Akay Çankaya ANKARA,03122643534,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Altunbilekler Süpermarket,Market Ürünleri,Eymir Mah. Manyas Gölü Cad. No:4/1 Çankaya Çankaya ANKARA,03122643534,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Altunbilekler Süpermarket,Market Ürünleri,Murat Mah. Yavuzevler Sok. No:17/A Çankaya Çankaya ANKARA,03122643534,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Anadolu Mantı Fırın,Mantı,Bahçelievler Mah. Azerbeycan Cad. No:67/A Bahçelievler Çankaya ANKARA,03122232266,http://ws.ticket.com.tr/iphone/images/icons/ST319.png
Anadolu Mutfağı,Mantı,Aşağı Öveçler Mah. 1324 Cad. No:49/C Öveçler Çankaya ANKARA,03124724535,http://ws.ticket.com.tr/iphone/images/icons/ST319.png
Ancyra Coffee Chocolate,Pasta/Tatlı,Yıldızevler 714. Sk. 6B 6550 Çankaya Ankara Yıldızevler Mh. Çankaya ANKARA,05355183706,http://ws.ticket.com.tr/iphone/images/icons/ST305.png
Angara Gumpircisi,Kumpir,Harbiye Mah. Dikmen Cad. No:298/B Aydınlar Çankaya ANKARA,03123350213,http://ws.ticket.com.tr/iphone/images/icons/ST320.png
Angara Simit,Dünya Mutfağı,Cebeci Mah. Süngübayırı Sok. No:1/B Cebeci Çankaya ANKARA,03123630010,http://ws.ticket.com.tr/iphone/images/icons/ST308.png
Angora Pastanesi,Pasta/Tatlı,Yıldızevler Mah. Turan Güneş Bul. Yıldız Çankaya ANKARA,03124403641,http://ws.ticket.com.tr/iphone/images/icons/ST305.png
Ankara Aspava,Pide,Meşrutiyet Mah. Meşrutiyet Cad. No:6/A Kızılay Çankaya ANKARA,0312312,http://ws.ticket.com.tr/iphone/images/icons/ST307.png
Ankara Dönercisi,Kebap/Türk Mutfağı,Armada AVM Eskişehir Yolu B Blok No:6/197 Çankaya Çankaya ANKARA,03124911696,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Ankara Dönercisi,Kebap/Türk Mutfağı,Panora AVM Oran Mah. Kudis Cad. No:221 Or-An Çankaya ANKARA,03124911696,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Ankara Dürüm Kebap,Kebap/Türk Mutfağı,Harbiye Mah. Sokullu Mehmet Paşa Cad. No Harbiye Çankaya ANKARA,03124786006,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Ankara Falafelcisi,Sandwich/Tost/Burger,Aziziye Mah. Üsküp Cad. No:2/A Kavaklıdere Çankaya Çankaya ANKARA,03124667645,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Annem Çorba Ve Tavuk Dünyası,Kebap/Türk Mutfağı,Mustafa Kemal Mah. 2127 Cad. No:24/A Çankaya Çankaya ANKARA,03122194845,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Annem Kebap,Kebap/Türk Mutfağı,Mustafa Kemal Mah. 2157 Sok. No:11/A Söğütözü Söğütözü Çankaya ANKARA,03122194488,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Any Pizza,Pizza,Emek Mah. Bişkek Cad. No:44/B Emek Çankaya ANKARA,03125020414,http://ws.ticket.com.tr/iphone/images/icons/ST312.png
Apaz Gıda,Kebap/Türk Mutfağı,Cepa AVM Eskisehir Yolu Mustafa Kemal Ma Mustafa Kemal Çankaya ANKARA,03124644235,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Arabica,Sandwich/Tost/Burger,Kavaklıdere Mah. Olgunlar Cad. No:6/A Kavaklıdere Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Arabica Coffee,Kahve,Remzi Oğuz Arık Mah. Bülten Cad. No:8/D Çankaya Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee,Kahve,Beker Avm Alacaatlı Mah.Şehit Eren Bülbü Çankaya Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee,Kahve,Emek Mah. Bişkek Cad. No:15/A Çankaya Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee,Kahve,Eskişehir Yolu Mustafa Kemal Mah.2123 So Çankaya Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee,Kahve,Mutlukent Mah. Pınar Cad. No:9 Çankaya Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee,Pasta/Tatlı,Bahçelievler Mah. 35.Cad. No:8/A Çankaya Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST305.png
Arabica Coffee,Pasta/Tatlı,Mustafa Kemal Mah. Dumlupınar Bul. No:26 6/C04 Çankaya Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST305.png
Arabica Coffee,Kahve,Kavaklıdere Mah. Atatürk Blv. No:167/A Kavaklıdere Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee,Kahve,Meşrutiyet Mah. Konur Sok. No:13 Çankaya Çankaya ANKARA,03128129412,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee House,Kebap/Türk Mutfağı,Prof.Dr.Ahmet Taner Kışlalı Mah. 2846. Sok. DoraPark No:2/1 Çayyolu Çankaya ANKARA,03124404889,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Arabica Coffee House,Kebap/Türk Mutfağı,Mustafa Kemal Mah. Dumlupınar Bul. Mah. Ankara Yaşam Mustafa Kemal Çankaya ANKARA,03125021686,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Arabica Coffee House,Pasta/Tatlı,Güzeltepe Mah. Halide Nusret Zorlutuna Cad. No:2/A Yukarı Ayrancı Çankaya ANKARA,03125836620,http://ws.ticket.com.tr/iphone/images/icons/ST305.png
Arabica Coffee House,Sandwich/Tost/Burger,Muhsin Yazicioğlu Cad. Regnum Sky TowerNo:57/B8 İşçi Blokları Çankaya ANKARA,03124680200,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Arabica Coffee House,Kahve,Yukarı Dikmen Mah. 664. Sok. No:2/112Dikmen Yukarı Dikmen Çankaya ANKARA,03124404889,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee House,Sandwich/Tost/Burger,Çamlıtepe Mah. Cemal Gürsel Cad. No:44/B Cebeci Çamlıtepe Çankaya ANKARA,03124306171,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Arabica Coffee House,Kahve,Kizilirmak Mah. Ufuk Üni. Cad 1445 Sok. Çukuranbar Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee House,Sandwich/Tost/Burger,Panora Avm Oran Mah. Turan Güneş Bul. No Or-An Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Arabica Coffee House,Kahve,Güzeltepe Mah. Hoşdere Cad. No:210/A Güzeltepe Çankaya ANKARA,03122317372,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee House,Kahve,Emek Mah. Bişkek Cad. No:72/B Emek Çankaya ANKARA,03129070106,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee House,Kahve,Kızılırmak Mah. Dumlupınar Blv. No:9/A - Çankaya Çankaya ANKARA,03126747375,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee House,Kahve,Bahçelievler Mah. Aşkabat Cad. No:3/A Bahçelievler Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee House,Kahve,Kızılay Mah. İzmir Cad. No:34/1 Kızılay Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arabica Coffee House,Kahve,Üniversiteler Mah. 1597 Cad. No:3/38 Bilkent Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST400.png
Arjantin Kebap,Kebap/Türk Mutfağı,100. Yıl Mah. 36. Cad. No:27/B Balgat Çankaya ANKARA,03122857758,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Armada Pideköy,Pide,Armada AVM   Armada AVM Beştepe Mah. Eskişehir Yolu Armada Alışveriş Merkezi No:6 Söğütözü Çankaya ANKARA,03122190404,http://ws.ticket.com.tr/iphone/images/icons/ST307.png
Arquet Burger Fries,Sandwich/Tost/Burger,Bahçelievler Mah. Azerbaycan Cad. No:46/A Bahçelievler Çankaya ANKARA,03124468684,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Artı Vitamin Piknik,Sandwich/Tost/Burger,Remzi Oğuz Arık Mah. Tunalı Hilmi Cad. N Çankaya Çankaya ANKARA,03124660888,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Arzu Kardeşler Pide Kebap,Pide,Umut Mah. Tekman Cad. No:14/B Umut Çankaya ANKARA,03124480649,http://ws.ticket.com.tr/iphone/images/icons/ST307.png
Arzu Pide Ve Kebap Salonu,Kebap/Türk Mutfağı,Huzur Mah. Lizbon Cad. 30. Sok. No:64 Öveçler Çankaya ANKARA,03124736100,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Arzum Pide Ve Kebap,Pide,Huzur Mah. Lizbon Cad. No:64/A Çankaya Çankaya ANKARA,03124730024,http://ws.ticket.com.tr/iphone/images/icons/ST307.png
Aspava,Pide,Mustafa Kemal Mah. 2157 Sok. No:10/1 Mustafa Kemal Çankaya ANKARA,03122195002,http://ws.ticket.com.tr/iphone/images/icons/ST307.png
Aspava,Pide,Ehlibeyt Mah. Ceyhun Atuf Kansu Cad. No: Çankaya Çankaya ANKARA,03124738680,http://ws.ticket.com.tr/iphone/images/icons/ST307.png
Aspava Lezzet Ustası,Kebap/Türk Mutfağı,Kızılırmak Mah. Muhsin Yazıcıoğlu Cad. N Kızılırmak Çankaya ANKARA,03122204040,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Aşkar Pastanesi,Pasta/Tatlı,100. Yıl Mah. Bağlar Cad. Yavuzevler Sok. Seyranbağları Çankaya ANKARA,03124461708,http://ws.ticket.com.tr/iphone/images/icons/ST305.png
Atabey Restaurant,Kebap/Türk Mutfağı,Ehlibeyt Mah. 1270 Sok. No:7/1 Cevizlidere Çankaya ANKARA,03128398368,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Atatepe Cafe,Dünya Mutfağı,Üniversiteler Mah. 1596. Cad No:22/D Çankaya Çankaya ANKARA,03122817087,http://ws.ticket.com.tr/iphone/images/icons/ST308.png
Ateş Dürüm,Kebap/Türk Mutfağı,Üniversiteler Mah. 1619 Sok. No:1/13 Bilkent Çankaya ANKARA,03122660198,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Atıştırmacık,Kebap/Türk Mutfağı,Söğütözü Mah. 2177 Cad. No:10/1 Söğütözü Söğütözü Çankaya ANKARA,0312312,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Avşaroğlu Pide,Kebap/Türk Mutfağı,Birlik Mah. Şehit Sadık Erisen Sok. No:5/B Bahçelievler Çankaya ANKARA,03124953335,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Ay Işığı Tatlıcısı,Pasta/Tatlı,Ön Cebeci Mah. Kıbrıs Cad. No:16/E Çankaya Çankaya ANKARA,03125053729,http://ws.ticket.com.tr/iphone/images/icons/ST305.png
Ayabakan Balıkçısı,Deniz Mahsulleri,Kızılırmak Mah. 1425 Cad. No:30/B Çukura Çukuranbar Çankaya ANKARA,0312312,http://ws.ticket.com.tr/iphone/images/icons/ST301.png
Aygır Burger,Sandwich/Tost/Burger,Sancak Mah. Kahire Cad. No:24/A Sancak Çankaya ANKARA,03123710294,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Aygir Burger Yaşamkent,Sandwich/Tost/Burger,Yaşamkent Mah. 3158. Cad. Akıncı Plaza No:12/B-37 Çayyolu Çankaya ANKARA,03125117247,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Aylak Madam Kahve Evi,Sandwich/Tost/Burger,Kavaklidere Mah. Karanfil Sok. No:77/B Kavaklıdere Çankaya ANKARA,03124197412,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Azim Döner,Kebap/Türk Mutfağı,Bahçelievler Mah. Azerbeycan Cad. Bahçeli Apt. No:31/A Bahçelievler Çankaya ANKARA,03122221106,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Azimi Lezzet Durağı,Kebap/Türk Mutfağı,Ehlibeyt Mah. Ceyhun Atıf Kansu Cad. No: Ehlibeyt Çankaya ANKARA,03124729603,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
B & H Coffee,Sandwich/Tost/Burger,Cepa AVM Mustafa Kemal Mah. 17. Sok. No:2 Söğütözü Çankaya ANKARA,03122197978,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Bakalım Nolcak,Pizza,Aydınlar Mah. Dikmen Cad. No:300/A Aydınlar Çankaya ANKARA,03124820402,http://ws.ticket.com.tr/iphone/images/icons/ST312.png
BAKERY SHOP,Sandwich/Tost/Burger,Mustafa Kemal Mah. Dumlupınar Bulvar Mah. ll Ankara No:274-7 Mustafa Kemal Çankaya ANKARA,03125030202,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Bal Mantı,Börek,Kızılırmak Mah. 1450. Sok. No:111 Çukuranbar Çankaya ANKARA,03122868646,http://ws.ticket.com.tr/iphone/images/icons/ST313.png
Balgat Döner,Sandwich/Tost/Burger,Oğuzlar Mah. Ceyhun Atuf Kansu Cad. No:7 3/A Balgat Çankaya ANKARA,03122858285,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Barış Aspava Restaurant,Kebap/Türk Mutfağı,Yaşamkent Mah. 3207. Cad. No:5/A Çayyolu Çankaya ANKARA,03122174257,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Barnis Cafe,Dünya Mutfağı,Tepe Prime Mustafa Kemal Mah. Dumlupınar Bul. No:266/B09 Mustafa Kemal Çankaya ANKARA,03122841100,http://ws.ticket.com.tr/iphone/images/icons/ST308.png
Barnis Cafe,Sandwich/Tost/Burger,Oran Mah. Zülfü Tigrel Cad. Dış Kapı 1 İ Or-An Çankaya ANKARA,03122841100,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Basil,Makarna/Salata,Kazım Özalp Mah. Nenehatun Cad. No:87/1 Çankaya Çankaya ANKARA,03122864182,http://ws.ticket.com.tr/iphone/images/icons/ST317.png
Başak Sandviç,Sandwich/Tost/Burger,Kavaklıdere Mah.Güfte Cad.No:17/A Çankaya Çankaya ANKARA,03129630798,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Başgimpa Süpermarket,Market Ürünleri,Kırkkonaklar Mah. Şemsettin Günaltay Cad Çankaya Çankaya ANKARA,03123752900,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Başkent Aspava,Kebap/Türk Mutfağı,Yaşamkent Mah. 3207 Cad. No:15/A Çayyolu Çayyolu Çankaya ANKARA,03122176007,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Bay Baget Sandwich,Sandwich/Tost/Burger,Esatoğlu Mah. J.F. Kenedy Cad. No:33/A Kavaklıdere Çankaya ANKARA,03124175151,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Bay Döner,Kebap/Türk Mutfağı,Meşrutiyet Cad. No:5 1-2-3 Nolu Dükkanlar Kızılay Çankaya ANKARA,03121111111,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Bazlamos,Sandwich/Tost/Burger,Yücetepe Mah. İlk Sok. No:34/C Kızılay Yücetepe Çankaya ANKARA,03122308727,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Bc Catering,Dünya Mutfağı,Mustafa Kemal Mah. 2079 Sok. No:2C/17 Çankaya Çankaya ANKARA,03125495306,http://ws.ticket.com.tr/iphone/images/icons/ST308.png
Bcc Toplu Yemek,Kebap/Türk Mutfağı,Üniversiteler Mah.İhsan Doğramacı Blv. No:6/D Bilkent Çankaya Çankaya ANKARA,03122664942,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Beat Cafe,Kebap/Türk Mutfağı,Taurus AVM Mevlana Bul. No:190/209 Çankaya Çankaya ANKARA,03122153838,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Berlin Cafe Pub,Sandwich/Tost/Burger,Kızılırmak Mah. Selanik Cad. Emek Apt. No:67 Kızılay Kocatepe Çankaya ANKARA,03124252756,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Beykoz,Kebap/Türk Mutfağı,Mutlukent Mah. 1927 Sokak No:3 Yaşamken Ümitköy Çankaya ANKARA,03122308080,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Beykoz İşkembe,Ev Yemekleri,Güzeltepe Mah. Hoşdere Cad. Yunus Nadi Sok. Çankaya Çankaya ANKARA,03124426868,http://ws.ticket.com.tr/iphone/images/icons/ST303.png
Beytepe Köftecisi,Köfte,Üniversiteler Mah. İhsan Doğramacı Bul. Diyanet Cami No:2 Bilkent Çankaya ANKARA,03122869886,http://ws.ticket.com.tr/iphone/images/icons/ST324.png
Beytepe Lezzet Sofrası,Kebap/Türk Mutfağı,Beytepe Mah. Küme Evleri Cad. No:11/B Beytepe Çankaya ANKARA,03122270607,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Bezmialem Restaurant,Ev Yemekleri,Mustafa Kemal Mah. 2128 Sok. Eskişehir Yolu No:11/A Bilkent Çankaya ANKARA,03122195687,http://ws.ticket.com.tr/iphone/images/icons/ST303.png
Bi Gel Pide Döner Kebap,Pide,Alacaatli Mah. Alacaatli Cad. No:180/A Çankaya Çankaya ANKARA,03122391050,http://ws.ticket.com.tr/iphone/images/icons/ST307.png
Big Baker,Sandwich/Tost/Burger,Azerbaycan Cad. No:24 Bahçelievler Çankaya ANKARA,03122212223,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Big Baker,Sandwich/Tost/Burger,Kocatepe Mah. Yüksel Cad. No:17/A Çankaya Çankaya ANKARA,03124193777,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Big Baker,Sandwich/Tost/Burger,Mustafa Kemal Mah. Dumlupınar Bul. Arı No:226 C2 Çankaya Çankaya ANKARA,03122132353,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Big Baker,Sandwich/Tost/Burger,Sancak Mah. Ukrayna Cad. 591. Sok. No:1/A Yıldız Çankaya ANKARA,03124919999,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Big Baker,Sandwich/Tost/Burger,Büyük Esat Mah. Uğur Mumcu Cad. No:83/5 Büyükesat Çankaya ANKARA,03124478282,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Big Bang Burger,Sandwich/Tost/Burger,Tunalıhilmi Cad. No:49 Kavaklıdere Çankaya ANKARA,03123970765,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Big Carmelo's Cafe,Sandwich/Tost/Burger,Meşrutiyet Mah. Karanfil Sok. No:31/A Kızılay Kızılay Çankaya ANKARA,03127703436,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
BİG CHEFS,Dünya Mutfağı,Arcadium AVM 2342 Cad. Zemin Kat: No:49/50 Çayyolu Çankaya ANKARA,03122403042,http://ws.ticket.com.tr/iphone/images/icons/ST308.png
Big Chefs,Dünya Mutfağı,Kent Park AVM Eskişehir yolu 7. km No:16 Çankaya Çankaya ANKARA,03122147305,http://ws.ticket.com.tr/iphone/images/icons/ST308.png
Bildirici Süpermarket,Market Ürünleri,Cevizlidere Mah. Gökkuşağı Cad. No:28/1-2 Balgat Çankaya ANKARA,03128154860,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Bildirici Süpermarket,Market Ürünleri,M.Kemal Mah. 2120.Cad. No:5/7 Mustafa Kemal Çankaya ANKARA,03128154860,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Bilkent Kıraç Mantı,Kebap/Türk Mutfağı,Bilkent Mah. 2. Cad. No:1 Bilkent Çankaya ANKARA,03122662072,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
Bin- Mar Market,Market Ürünleri,Kırkkonaklar Mah. 316 Cad. No:16/D Kırkkonaklar Çankaya ANKARA,03124950711,http://ws.ticket.com.tr/iphone/images/icons/ST399.png
Birlik Pide Kebap Salonu,Pide,Birlik Mah. 450. Cad No:30/A Birlik mah. Çankaya ANKARA,03124966567,http://ws.ticket.com.tr/iphone/images/icons/ST307.png
Birlik Sandviç,Sandwich/Tost/Burger,Barbaros Mah. Buğday Sok. No:6/2 Kavaklıdere Çankaya ANKARA,03124269686,http://ws.ticket.com.tr/iphone/images/icons/ST302.png
Bizim Dönerci,Kebap/Türk Mutfağı,Sancak Mah. Turan Güneş Bul. No:26/37 Yıldız Çankaya ANKARA,03124383890,http://ws.ticket.com.tr/iphone/images/icons/ST310.png
